"filename", "language", "Java", "comment", "blank", "total"
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/Main.java", "Java", 8, 0, 3, 11
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/AbstractGameController.java", "Java", 64, 0, 21, 85
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/CityController.java", "Java", 235, 1, 24, 260
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/CivilizationController.java", "Java", 248, 0, 15, 263
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/GameController.java", "Java", 1177, 22, 102, 1301
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/JsonResponsor.java", "Java", 32, 0, 8, 40
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/MapController.java", "Java", 147, 0, 26, 173
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/UnitController.java", "Java", 489, 6, 44, 539
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/controller/UserController.java", "Java", 138, 0, 29, 167
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Building.java", "Java", 22, 0, 8, 30
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/BuildingType.java", "Java", 73, 1, 16, 90
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/City.java", "Java", 323, 0, 87, 410
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Civilization.java", "Java", 264, 9, 71, 344
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Direction.java", "Java", 34, 0, 6, 40
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Era.java", "Java", 10, 0, 2, 12
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/GameArea.java", "Java", 112, 0, 29, 141
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Improvement.java", "Java", 80, 0, 10, 90
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Map.java", "Java", 227, 4, 30, 261
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Production.java", "Java", 20, 0, 7, 27
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Resource.java", "Java", 96, 0, 17, 113
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Technology.java", "Java", 146, 0, 9, 155
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/TerrainType.java", "Java", 153, 1, 16, 170
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Tile.java", "Java", 398, 0, 97, 495
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/Unit.java", "Java", 148, 0, 43, 191
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/UnitType.java", "Java", 179, 1, 25, 205
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/model/User.java", "Java", 110, 0, 27, 137
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/AbstractMenuView.java", "Java", 95, 0, 20, 115
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/GameMenuView.java", "Java", 1089, 3, 90, 1182
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/LoginMenuView.java", "Java", 154, 0, 26, 180
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/MainMenuView.java", "Java", 108, 0, 26, 134
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/Menu.java", "Java", 31, 0, 7, 38
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/main/java/ir/ap/view/ProfileMenuView.java", "Java", 121, 0, 28, 149
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/test/java/ir/ap/controller/AbstractControllerTest.java", "Java", 58, 0, 14, 72
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/test/java/ir/ap/controller/CityControllerTest.java", "Java", 13, 0, 8, 21
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/test/java/ir/ap/controller/UnitControllerTest.java", "Java", 58, 0, 12, 70
"/home/amirmohammad/amirmohammad/projects/Project_AP/project-group-20/civ/src/test/java/ir/ap/model/MapTest.java", "Java", 28, 0, 18, 46
"Total", "-", 6688, 48, 1021, 7757